Age,Gender,AnnualIncome,NumberOfPurchases,ProductCategory,TimeSpentOnWebsite,LoyaltyProgram,DiscountsAvailed,PurchaseStatus
40,1,66120.26793867800,8,0,30.56860115599190,0,5,1
20,1,23579.773583030500,4,2,38.240096605544200,0,5,0
27,1,127821.3064316500,11,2,31.633211501604100,1,0,1
24,1,137798.62311955000,19,3,46.167058811663000,0,4,1
31,1,99300.96422033320,19,1,19.823591862495600,0,0,1
66,1,37758.11747465240,14,4,17.827492934546600,0,2,0
39,1,126883.38528613500,16,3,42.085383519448800,1,4,1
64,1,39707.35972401290,13,2,17.190291539022100,1,0,0
43,0,102797.30126911700,20,1,6.023474556808850,0,3,0
20,1,63854.92107998210,16,0,38.57246639277680,0,5,1
66,1,66199.99392914610,11,1,1.4155319628243700,1,5,1
70,1,83556.71813301870,11,2,42.173999325776500,0,4,1
54,0,114467.22896914200,9,2,17.626043673393100,1,5,1
64,1,31880.893223130900,17,0,22.753472516233700,1,1,0
19,1,107485.66091127600,7,1,28.26032122753380,1,4,1
70,1,67049.59880892250,2,4,21.895097608810200,0,0,0
51,1,129174.20886637500,13,4,21.808776090014300,0,0,1
18,1,128374.49505188600,0,2,16.768262423676600,0,4,0
57,0,71740.68808408540,12,2,40.69672742492700,0,2,0
20,0,121499.00618889700,12,3,21.240052218659400,1,0,1
59,0,92768.23887298970,3,2,1.037023481078910,0,5,0
19,0,116945.39175506000,17,3,5.953791243356880,0,5,1
46,1,133256.58269419700,7,2,41.685400866460600,0,2,0
22,1,56597.755793940900,16,4,14.827835349994700,1,1,1
31,0,78117.2206948353,13,0,30.353469185591600,0,1,1
62,0,108227.09436743300,18,3,10.39038595563600,0,2,0
67,1,102252.54423731800,14,1,44.49593419070700,0,5,1
66,0,97875.7963295496,17,1,54.593550364371800,0,2,1
67,1,23792.06927388440,15,4,28.64750679716910,1,5,0
48,1,138727.3031849110,9,0,13.71525859531840,0,2,0
52,1,42589.00710764670,1,1,3.626033317294110,1,5,0
63,0,80023.09869570550,11,2,44.969247684174000,0,0,0
36,0,144947.6131029870,12,1,26.151565326802100,0,4,1
37,0,101842.50059592600,16,3,17.34032246935200,0,1,0
25,0,139395.43617890300,1,0,1.64978814180084,0,2,0
40,1,107419.86474325400,15,2,28.881975329587500,0,5,1
53,1,93069.46327233420,12,3,44.39322491166160,1,0,1
30,0,52154.24105648080,15,1,18.966868159931600,0,2,0
66,0,124009.22593089100,7,4,52.24461701636440,0,0,0
43,0,48046.28829293900,5,2,29.539116111052100,1,0,0
43,1,43303.22954801270,13,3,2.7576397379247100,0,5,0
68,0,64874.98710424740,9,1,42.14942186169410,0,4,1
59,0,123832.8449150950,7,2,49.28016124284290,0,1,0
45,1,99978.52697003140,15,2,40.62795362887600,1,0,1
50,1,57327.93455099480,20,1,30.655176821654000,1,3,1
61,1,114517.37901000100,12,1,30.98195957429380,0,0,0
62,0,67931.93221242340,11,4,58.26272557298130,0,5,1
53,1,67808.71561404770,17,0,32.09595923306130,0,5,1
18,1,129969.78715810500,14,1,15.87649339449770,0,4,1
47,1,104216.2679787690,13,1,56.84931579392200,1,4,1
52,0,40534.12696859520,1,1,54.28825075264440,0,2,0
25,0,29263.374609483600,2,3,13.278256041186000,0,4,0
18,1,38570.537349109000,5,3,23.847516844005000,0,5,0
40,0,33711.580994362000,16,4,11.79069013105150,1,4,0
22,0,32401.90605071740,10,0,42.616025841453000,0,3,1
35,0,80147.82865850120,12,2,40.97033790015840,0,0,1
32,1,90421.62561330050,15,3,58.75625381107410,0,0,1
42,1,108080.49476966400,9,1,21.041864490295600,0,3,0
47,1,75279.6641069002,8,2,51.850939535977200,0,4,1
31,0,95411.5485070291,12,0,57.810606416504200,1,2,1
33,1,26258.568677185900,19,3,12.922775229104700,0,5,0
23,0,118155.45073701600,16,2,1.4036041407534500,0,2,0
52,1,116034.00959445400,0,4,21.42040150970010,1,3,1
66,1,118928.7988036520,16,1,41.05435289413830,0,2,0
